Filename                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap59/JohnsonMtEphInt.rs                         198                17    91.41%          11                 3    72.73%         107                13    87.85%           0                 0         -
Chap59/JohnsonStEphFloat.rs                       141                16    88.65%           8                 3    62.50%          83                12    85.54%           0                 0         -
Chap59/JohnsonStEphInt.rs                         145                16    88.97%           8                 3    62.50%          80                12    85.00%           0                 0         -
Chap61/EdgeContractionMtEph.rs                    156                 2    98.72%           5                 0   100.00%          75                 2    97.33%           0                 0         -
Chap61/EdgeContractionStEph.rs                     80                 1    98.75%           2                 0   100.00%          36                 1    97.22%           0                 0         -
Chap61/VertexMatchingMtEph.rs                     195                 4    97.95%           8                 0   100.00%          98                 4    95.92%           0                 0         -
Chap61/VertexMatchingStEph.rs                      90                 0   100.00%           2                 0   100.00%          39                 0   100.00%           0                 0         -
Chap62/StarContractionMtEph.rs                    135                 1    99.26%           7                 0   100.00%          73                 1    98.63%           0                 0         -
Chap62/StarContractionStEph.rs                     69                 0   100.00%           4                 0   100.00%          36                 0   100.00%           0                 0         -
Chap62/StarPartitionMtEph.rs                      121                 2    98.35%           3                 0   100.00%          46                 0   100.00%           0                 0         -
Chap62/StarPartitionStEph.rs                       49                 0   100.00%           1                 0   100.00%          19                 0   100.00%           0                 0         -
Chap63/ConnectivityMtEph.rs                       229                44    80.79%          12                 3    75.00%         116                24    79.31%           0                 0         -
Chap63/ConnectivityStEph.rs                       155                 0   100.00%           8                 0   100.00%          71                 0   100.00%           0                 0         -
Chap64/SpanTreeMtEph.rs                            92                 3    96.74%           3                 0   100.00%          42                 2    95.24%           0                 0         -
